,City,Country,Latitude,Longitude,Temperature,Humidity,Cloud,Wind
0,New Norfolk,AU,-42.7826,147.0587,52.99,53,100,3.0
1,Cherskiy,RU,68.75,161.3,24.06,79,100,9.31
2,Mar del Plata,AR,-38.0023,-57.5575,59.56,91,90,5.01
3,Saint-Philippe,RE,-21.3585,55.7679,82.26,71,16,10.22
4,Valverde del Camino,ES,37.5751,-6.7543,46.89,53,94,4.7
5,Hobart,AU,-42.8794,147.3294,55.17,56,75,4.0
6,Malbork,PL,54.0359,19.0266,42.24,74,4,7.16
7,Asău,RO,46.4333,26.4,40.41,73,97,4.38
8,Saskylakh,RU,71.9167,114.0833,-28.55,100,53,3.31
9,Vaini,TO,-21.2,-175.2,75.36,88,20,9.22
10,Caravelas,BR,-17.7125,-39.2481,71.08,93,89,6.44
11,Punta Arenas,CL,-53.15,-70.9167,46.11,49,100,20.09
12,Sukhumi,GE,43.0033,41.0153,57.31,72,32,5.1
13,Thompson,CA,55.7435,-97.8558,24.96,100,90,3.44
14,Torbay,CA,47.6666,-52.7314,46.96,97,90,27.63
15,Khatanga,RU,71.9667,102.5,-28.23,100,56,2.46
16,Avarua,CK,-21.2078,-159.775,75.25,83,40,4.61
17,Bredasdorp,ZA,-34.5322,20.0403,69.12,56,75,6.91
18,Rikitea,PF,-23.1203,-134.9692,73.76,84,100,11.48
19,Prainha,BR,-1.8,-53.48,73.29,95,98,2.28
20,Sadovoye,RU,47.7764,44.5089,31.21,51,11,9.26
21,Tuktoyaktuk,CA,69.4541,-133.0374,1.13,93,99,2.53
22,Ürümqi,CN,43.801,87.6005,27.55,100,90,2.24
23,Vardø,NO,70.3705,31.1107,35.58,93,75,12.66
24,Lakhisarai,IN,25.1768,86.0932,82.54,31,6,5.26
25,Fairbanks,US,64.8378,-147.7164,-4.31,80,90,0.0
26,Upernavik,GL,72.7868,-56.1549,-0.71,61,13,6.69
27,George Town,MY,5.4112,100.3354,86.81,73,40,11.99
28,Chokurdakh,RU,70.6333,147.9167,10.26,95,100,7.67
29,Cayenne,GF,4.9333,-52.3333,75.09,92,75,2.3
30,Tres Arroyos,AR,-38.3739,-60.2798,49.01,86,74,16.31
31,Aklavik,CA,68.2191,-135.0107,-1.37,97,100,3.91
32,Faanui,PF,-16.4833,-151.75,79.09,77,100,4.72
33,Ilulissat,GL,69.2167,-51.1,15.82,57,20,8.05
34,Longyearbyen,SJ,78.2186,15.6401,19.24,58,20,27.63
35,Plettenberg Bay,ZA,-34.0527,23.3716,64.24,80,100,7.94
36,Ribeira Grande,PT,38.5167,-28.7,66.6,82,20,17.27
37,Zhangaözen,KZ,43.3,52.8,36.3,76,97,22.62
38,Cape Town,ZA,-33.9258,18.4232,70.77,62,40,9.22
39,Ahipara,NZ,-35.1667,173.1667,62.37,90,89,8.7
40,Arraial do Cabo,BR,-22.9661,-42.0278,69.67,82,33,18.86
41,Kruisfontein,ZA,-34.0033,24.7314,70.88,66,100,17.29
42,Yermish',RU,54.7678,42.2711,28.99,76,60,15.68
43,Port Alfred,ZA,-33.5906,26.891,70.92,72,92,23.29
44,Tonekābon,IR,36.8163,50.8738,53.55,93,100,15.88
45,Kismayo,SO,-0.3582,42.5454,84.96,63,28,11.36
46,Barrow,US,71.2906,-156.7887,1.42,71,90,17.27
47,Carnarvon,AU,-24.8667,113.6333,77.07,53,0,17.27
48,Bengkulu,ID,-3.8004,102.2655,84.7,65,73,7.76
49,Susanville,US,40.4163,-120.653,50.32,62,75,10.36
50,Līsakovsk,KZ,52.5369,62.4936,12.56,83,5,4.59
51,Kapaa,US,22.0752,-159.319,70.88,75,40,8.05
52,Le Port,RE,-20.9373,55.2919,82.67,84,26,5.73
53,Richards Bay,ZA,-28.783,32.0377,74.62,80,100,18.86
54,Stann Creek Town,BZ,16.9692,-88.2321,70.99,94,100,7.29
55,Ushuaia,AR,-54.8,-68.3,42.46,65,75,3.44
56,Corinth,GR,37.9407,22.9573,61.14,78,100,10.11
57,Turukhansk,RU,65.8167,87.9833,-5.93,94,91,7.52
58,Sungai Raya,ID,0.7,108.9,84.74,72,65,6.6
59,Chui,UY,-33.6971,-53.4616,63.88,97,100,0.78
60,Albany,US,42.6001,-73.9662,32.02,82,9,5.99
61,Castro,BR,-24.7911,-50.0119,55.58,97,99,4.34
62,Eau Claire,US,44.8114,-91.4985,24.15,87,1,1.01
63,Touros,BR,-5.1989,-35.4608,79.7,74,11,13.44
64,Khorixas,NA,-20.3667,14.9667,91.22,19,91,6.31
65,Requena,ES,39.4883,-1.1004,39.79,73,0,3.44
66,Khanbari,NP,27.3747,87.2039,69.39,57,20,5.26
67,Beyneu,KZ,45.3167,55.2,35.64,70,100,17.87
68,Genhe,CN,50.7833,121.5167,24.73,73,75,2.98
69,Najrān,SA,17.4924,44.1277,75.85,23,0,2.48
70,Cidreira,BR,-30.1811,-50.2056,66.79,89,2,16.15
71,Oromocto,CA,45.8351,-66.4792,35.19,77,1,14.97
72,Nioro,GM,13.35,-15.75,76.33,56,99,4.43
73,Kahului,US,20.8947,-156.47,74.77,89,75,5.75
74,Rosetta,EG,31.4044,30.4164,75.02,65,79,4.41
75,Nipawin,CA,53.3668,-104.0009,32.04,100,90,20.71
76,Plouzané,FR,48.3833,-4.6167,45.05,100,90,3.44
77,Raudeberg,NO,61.9875,5.1352,47.86,86,100,10.0
78,Catuday,PH,16.2923,119.8062,82.22,77,93,11.25
79,Batemans Bay,AU,-35.7167,150.1833,63.72,61,27,4.23
80,Bambous Virieux,MU,-20.3428,57.7575,82.65,61,40,11.5
81,Sumenep,ID,-7.0167,113.8667,84.24,68,100,8.05
82,Dikson,RU,73.5069,80.5464,-13.34,96,25,5.93
83,East London,ZA,-33.0153,27.9116,74.34,56,40,18.41
84,Pekalongan,ID,-6.8886,109.6753,81.3,74,100,5.48
85,Pacific Grove,US,36.6177,-121.9166,54.41,94,90,1.99
86,Matagami,CA,49.7502,-77.6328,26.71,100,90,4.61
87,Mbandaka,CD,0.0487,18.2603,78.35,75,100,3.62
88,Kostino,RU,58.9097,53.2691,21.16,91,100,13.11
89,Yatou,CN,37.15,122.3833,52.48,59,39,3.42
90,Bethel,US,41.3712,-73.414,36.86,73,1,3.0
91,Moyale,KE,3.5167,39.0584,77.63,55,88,9.71
92,Tiksi,RU,71.6872,128.8694,-5.42,90,100,4.34
93,Kiryat Gat,IL,31.61,34.7642,71.69,43,2,2.37
94,Mehamn,NO,71.0357,27.8492,39.11,88,96,1.28
95,Murray,US,40.6669,-111.888,57.96,36,1,1.01
96,Sebring,US,27.4956,-81.4409,51.12,90,1,4.61
97,Rock Sound,BS,24.9,-76.2,77.02,72,98,21.23
98,Busselton,AU,-33.65,115.3333,73.04,60,26,10.54
99,Padang,ID,-0.9492,100.3543,86.05,60,92,5.46
100,Batī,ET,11.1833,40.0167,75.43,29,77,7.23
101,Puerto Ayora,EC,-0.7393,-90.3518,67.89,81,92,8.77
102,Buala,SB,-8.145,159.5921,81.12,77,95,4.72
103,Makkah al Mukarramah,SA,21.4267,39.8261,86.25,39,0,5.14
104,Mataura,NZ,-46.1927,168.8643,49.08,67,100,10.2
105,Qaanaaq,GL,77.484,-69.3632,2.62,83,100,8.86
106,Eten,PE,-6.9081,-79.8642,62.04,90,93,8.97
107,Hong Kong,HK,22.2855,114.1577,77.81,68,10,8.99
108,Buraidah,SA,26.326,43.975,77.45,26,0,10.29
109,Mayumba,GA,-3.432,10.6554,79.75,82,100,3.96
110,Bonavista,CA,48.6499,-53.1147,42.8,93,100,30.82
111,Bluff,NZ,-46.6,168.3333,48.9,86,100,32.19
112,Chimbote,PE,-9.0853,-78.5783,61.34,92,91,5.39
113,Nome,US,64.5011,-165.4064,-5.73,84,1,0.0
114,Paamiut,GL,61.994,-49.6678,10.89,75,0,7.2
115,Saint Paul Harbor,US,57.79,-152.4072,17.11,86,75,4.61
116,Hermanus,ZA,-34.4187,19.2345,72.9,63,100,6.69
117,Bud,US,39.447,-86.1758,32.25,91,3,6.11
118,New Kensington,US,40.5698,-79.7648,32.99,64,14,4.27
119,Yangi Marg`ilon,UZ,40.4272,71.7189,50.72,46,69,4.61
120,Hithadhoo,MV,-0.6,73.0833,82.62,72,22,16.75
121,Faya,SA,18.3851,42.4509,66.72,40,0,6.55
